route_id,service_id,trip_id,direction_id,block_id,shape_id
"Route 08 - Sissonville","Route 08 - Sissonville_#0_2016-02-08T13:13:44_20170901_99991231_20170404_99991231_3","#0_2016-02-08T13:13:44_20170901_99991231_20170404_99991231_3","0","","08 - Sissonville to Transit Mall_Mar 14 2017  6:53:33:880PM"
"Route 08 - Sissonville","Route 08 - Sissonville_#0_2016-02-08T13:15:12_20170901_99991231_20170404_99991231_3","#0_2016-02-08T13:15:12_20170901_99991231_20170404_99991231_3","0","","08 - Sissonville to Transit Mall_Mar 14 2017  6:53:33:880PM"
"Route 08 - Sissonville","Route 08 - Sissonville_#1_2016-02-08T10:09:02_20170901_99991231_20170530_99991231_2","#1_2016-02-08T10:09:02_20170901_99991231_20170530_99991231_2","1","","08 - Transit Mall to Sissonville"
"Route 08 - Sissonville","Route 08 - Sissonville_0625_20170901_99991231_20170404_99991231_6","0625_20170901_99991231_20170404_99991231_6","1","","08 - Casdorph Dr to Sissonville"
"Route 08 - Sissonville","Route 08 - Sissonville_0625_20170901_99991231_20170530_99991231_2","0625_20170901_99991231_20170530_99991231_2","1","","08 - Casdorph Dr to Sissonville"
"Route 08 - Sissonville","Route 08 - Sissonville_1743_20170901_99991231_20170404_99991231_3","1743_20170901_99991231_20170404_99991231_3","0","","08 - Sissonville to Littlepage Terrace"
"Route 10 - Northgate / Hillcrest","Route 10 - Northgate / Hillcrest_#0_2016-02-05T13:52:37_20170901_99991231_20170530_99991231_2","#0_2016-02-05T13:52:37_20170901_99991231_20170530_99991231_2","1","","10 - Transit Mall  to Northgate_Mar 28 2017 10:09:57:697AM"
"Route 10 - Northgate / Hillcrest","Route 10 - Northgate / Hillcrest_#0_2016-02-05T13:55:16_20170901_99991231_20170530_99991231_2","#0_2016-02-05T13:55:16_20170901_99991231_20170530_99991231_2","0","","10 - Northgate to Transit Mall_Mar 15 2017 12:59:17:953PM"
"Route 10 - Northgate / Hillcrest","Route 10 - Northgate / Hillcrest_#1_2016-02-05T13:53:05_20170901_99991231_20170405_99991231_3","#1_2016-02-05T13:53:05_20170901_99991231_20170405_99991231_3","1","","10 - Transit Mall  to Northgate_Mar 28 2017 10:09:57:697AM"
"Route 10 - Northgate / Hillcrest","Route 10 - Northgate / Hillcrest_#1_2016-02-05T13:53:05_20170901_99991231_20170405_99991231_4","#1_2016-02-05T13:53:05_20170901_99991231_20170405_99991231_4","1","","10 - Transit Mall  to Northgate_Mar 28 2017 10:09:57:697AM"
"Route 10 - Northgate / Hillcrest","Route 10 - Northgate / Hillcrest_#1_2016-02-05T13:55:58_20170901_99991231_20170404_99991231_4","#1_2016-02-05T13:55:58_20170901_99991231_20170404_99991231_4","0","","10 - Northgate to Transit Mall_Mar 15 2017 12:59:17:953PM"
"Route 10 - Northgate / Hillcrest","Route 10 - Northgate / Hillcrest_1705_Mar  2 2016 11:26:43:973PM_20170901_99991231_20170404_99991231_6","1705_Mar  2 2016 11:26:43:973PM_20170901_99991231_20170404_99991231_6","0","","10 - Northgate to Transit Mall_Mar 15 2017 12:59:17:953PM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#0_2016-02-05T14:01:25_20170901_99991231_20170405_99991231_3","#0_2016-02-05T14:01:25_20170901_99991231_20170405_99991231_3","1","","11 - Transit Mall to Oakridge & Serene_Apr  4 2017 10:03:55:530AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#0_2016-02-05T14:02:51_20170901_99991231_20170405_99991231_5","#0_2016-02-05T14:02:51_20170901_99991231_20170405_99991231_5","1","","11 - Transit Mall to Oakridge & Serene_Apr  4 2017 10:03:55:530AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#0_2016-02-05T14:08:52_20170901_99991231_20170405_99991231_3","#0_2016-02-05T14:08:52_20170901_99991231_20170405_99991231_3","0","","11 - Oakridge & Serene to Transit Mall_Apr  4 2017 10:04:11:960AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#0_2016-02-05T14:08:52_20170901_99991231_20170405_99991231_4","#0_2016-02-05T14:08:52_20170901_99991231_20170405_99991231_4","0","","11 - Oakridge & Serene to Transit Mall_Apr  4 2017 10:04:11:960AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#1_2016-02-05T14:06:01_20170901_99991231_20170405_99991231_5","#1_2016-02-05T14:06:01_20170901_99991231_20170405_99991231_5","1","","11 - Transit Mall to Oakridge & Serene_Apr  4 2017 10:03:55:530AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#1_2016-02-05T14:06:01_20170901_99991231_20170530_99991231_2","#1_2016-02-05T14:06:01_20170901_99991231_20170530_99991231_2","1","","11 - Transit Mall to Oakridge & Serene_Apr  4 2017 10:03:55:530AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#1_2016-02-05T14:08:52_20170901_99991231_20170530_99991231_2","#1_2016-02-05T14:08:52_20170901_99991231_20170530_99991231_2","0","","11 - Oakridge & Serene to Transit Mall_Apr  4 2017 10:04:11:960AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#1_2016-02-05T14:09:36_20170901_99991231_20170405_99991231_5","#1_2016-02-05T14:09:36_20170901_99991231_20170405_99991231_5","0","","11 - Oakridge & Serene to Transit Mall_Apr  4 2017 10:04:11:960AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#1_2016-02-05T14:10:13_20170901_99991231_20170405_99991231_3","#1_2016-02-05T14:10:13_20170901_99991231_20170405_99991231_3","0","","11 - Oakridge & Serene to Transit Mall_Apr  4 2017 10:04:11:960AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#1_2016-02-08T17:14:28_20170901_99991231_20170405_99991231_7","#1_2016-02-08T17:14:28_20170901_99991231_20170405_99991231_7","1","","11 - Transit Mall to Oakridge & Serene_Apr  4 2017 10:03:55:530AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#3_2016-02-05T14:10:14_20170901_99991231_20170405_99991231_3","#3_2016-02-05T14:10:14_20170901_99991231_20170405_99991231_3","0","","11 - Oakridge & Serene to Transit Mall_Apr  4 2017 10:04:11:960AM"
"Route 11 - Wertz Avenue","Route 11 - Wertz Avenue_#3_2016-02-05T14:10:14_20170901_99991231_20170530_99991231_2","#3_2016-02-05T14:10:14_20170901_99991231_20170530_99991231_2","0","","11 - Oakridge & Serene to Transit Mall_Apr  4 2017 10:04:11:960AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_2255_20170901_99991231_20170403_99991231_6","2255_20170901_99991231_20170403_99991231_6","0","","03I - WVSU to 7th Ave & 26th St"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_659_20170901_99991231_20170405_99991231_3","659_20170901_99991231_20170405_99991231_3","1","","03N - Capitol Complex to Mardi Gras Resort_Apr  4 2017 11:03:03:050AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_659_20170901_99991231_20170405_99991231_4","659_20170901_99991231_20170405_99991231_4","1","","03N - Capitol Complex to Mardi Gras Resort_Apr  4 2017 11:03:03:050AM"
"Route 08 - Sissonville","Route 08 - Sissonville_#0_2016-02-08T10:09:01_20170901_99991231_20170530_99991231_2","#0_2016-02-08T10:09:01_20170901_99991231_20170530_99991231_2","1","","08 - Transit Mall to Sissonville"
"Route 08 - Sissonville","Route 08 - Sissonville_#0_2016-02-08T13:13:44_20170901_99991231_20170404_99991231_6","#0_2016-02-08T13:13:44_20170901_99991231_20170404_99991231_6","0","","08 - Sissonville to Transit Mall_Mar 14 2017  6:53:33:880PM"
"Route 08 - Sissonville","Route 08 - Sissonville_#0_2016-02-08T13:15:12_20170901_99991231_20170404_99991231_5","#0_2016-02-08T13:15:12_20170901_99991231_20170404_99991231_5","0","","08 - Sissonville to Transit Mall_Mar 14 2017  6:53:33:880PM"
"Route 08 - Sissonville","Route 08 - Sissonville_#0_2016-02-08T17:03:19_20170901_99991231_20170404_99991231_7","#0_2016-02-08T17:03:19_20170901_99991231_20170404_99991231_7","0","","08 - Sissonville to Transit Mall_Mar 14 2017  6:53:33:880PM"
"Route 08 - Sissonville","Route 08 - Sissonville_0730_Feb  8 2016 10:08:12:263AM_20170901_99991231_20170404_99991231_6","0730_Feb  8 2016 10:08:12:263AM_20170901_99991231_20170404_99991231_6","1","","08 - Transit Mall to Sissonville"
"Route 08 - Sissonville","Route 08 - Sissonville_1743_20170901_99991231_20170404_99991231_6","1743_20170901_99991231_20170404_99991231_6","0","","08 - Sissonville to Littlepage Terrace"
"Route 08 - Sissonville","Route 08 - Sissonville_1807_20170901_99991231_20170404_99991231_7","1807_20170901_99991231_20170404_99991231_7","0","","08 - Littlepage Terrace to Wash St & Stockton St"
"Route 10 - Northgate / Hillcrest","Route 10 - Northgate / Hillcrest_#0_2016-02-05T13:20:04_20170901_99991231_20170530_99991231_2","#0_2016-02-05T13:20:04_20170901_99991231_20170530_99991231_2","1","","10 - Transit Mall  to Northgate_Mar 28 2017 10:09:57:697AM"
"Route 10 - Northgate / Hillcrest","Route 10 - Northgate / Hillcrest_#0_2016-02-05T13:53:05_20170901_99991231_20170530_99991231_2","#0_2016-02-05T13:53:05_20170901_99991231_20170530_99991231_2","1","","10 - Transit Mall  to Northgate_Mar 28 2017 10:09:57:697AM"
"Route 10 - Northgate / Hillcrest","Route 10 - Northgate / Hillcrest_#1_2016-02-05T13:53:05_20170901_99991231_20170405_99991231_5","#1_2016-02-05T13:53:05_20170901_99991231_20170405_99991231_5","1","","10 - Transit Mall  to Northgate_Mar 28 2017 10:09:57:697AM"
