trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
3458-167-164,,,229,55,3,3,
3458-167-164,15:18:00,15:18:00,70,60,0,0,
3458-167-164,,,230,61,3,3,
3458-167-164,,,231,62,3,3,
3458-167-164,15:20:00,15:20:00,65,70,0,0,
3458-167-164,,,232,72,3,3,
3458-167-164,,,233,73,3,3,
3458-167-164,,,234,74,3,3,
3458-167-164,,,235,75,3,3,
3458-167-164,,,236,76,3,3,
3458-167-164,15:24:00,15:24:00,67,80,0,0,
3458-167-164,,,237,82,3,3,
3458-167-164,,,235,83,3,3,
3458-167-164,,,234,84,3,3,
3458-167-164,,,233,87,3,3,
3458-167-164,,,232,88,3,3,
3458-167-164,15:35:00,15:35:00,66,90,0,0,
